pat1,pat2,features (n),similarity
SRI-18497803,SRI-54024442,5,0.04530067222437629
SRI-18497803,SRI-54024442,10,0.06474061590673055
SRI-18497803,SRI-54024442,15,0.06622459967879796
SRI-18497803,SRI-54024442,20,0.0695860341145804
SRI-18497803,SRI-54024442,25,0.07388526639408588
SRI-18497803,SRI-54024442,30,0.08106780498075322
SRI-18497803,SRI-54024442,40,0.08785988377094044
SRI-18497803,SRI-54024442,50,0.09478806780627182
SRI-18497803,SRI-54024442,60,0.09452791396413608
SRI-18497803,SRI-54024442,80,0.0904731468639014
SRI-18497803,SRI-54024442,100,0.08685444394579601
SRI-18497803,SRI-54024442,110,0.1000006723196857
SRI-18497803,SRI-83452944,5,0.03561574894476471
SRI-18497803,SRI-83452944,10,0.05024245635001765
SRI-18497803,SRI-83452944,15,0.05021871007523082
SRI-18497803,SRI-83452944,20,0.05727948848478549
SRI-18497803,SRI-83452944,25,0.062442513970365925
SRI-18497803,SRI-83452944,30,0.07141643135027385
SRI-18497803,SRI-83452944,40,0.08040898357875806
SRI-18497803,SRI-83452944,50,0.09032221664789267
SRI-18497803,SRI-83452944,60,0.09066338692132092
SRI-18497803,SRI-83452944,80,0.09377933961098857
SRI-18497803,SRI-83452944,100,0.08802949873995498
SRI-18497803,SRI-83452944,110,0.1000136680245472
SRI-18497803,SRI-21251048,5,0.049401501506614674
SRI-18497803,SRI-21251048,10,0.06174324624804319
SRI-18497803,SRI-21251048,15,0.06697563451210273
SRI-18497803,SRI-21251048,20,0.06936048231546879
SRI-18497803,SRI-21251048,25,0.07602421651398653
SRI-18497803,SRI-21251048,30,0.08266526509311131
SRI-18497803,SRI-21251048,40,0.09051149521537319
SRI-18497803,SRI-21251048,50,0.09519775106792794
SRI-18497803,SRI-21251048,60,0.09857228749754239
SRI-18497803,SRI-21251048,80,0.09888363249253465
SRI-18497803,SRI-21251048,100,0.10077210511053206
SRI-18497803,SRI-21251048,110,0.11378175211689048
SRI-18497803,SRI-36274494,5,0.041077917040302836
SRI-18497803,SRI-36274494,10,0.05276183631534013
SRI-18497803,SRI-36274494,15,0.057137582540400585
SRI-18497803,SRI-36274494,20,0.0616451810533297
SRI-18497803,SRI-36274494,25,0.06534212251696282
SRI-18497803,SRI-36274494,30,0.0711645936374229
SRI-18497803,SRI-36274494,40,0.07796787667761804
SRI-18497803,SRI-36274494,50,0.08371064604484951
SRI-18497803,SRI-36274494,60,0.08520529278877315
SRI-18497803,SRI-36274494,80,0.08376343708948905
SRI-18497803,SRI-36274494,100,0.08464075877054088
SRI-18497803,SRI-36274494,110,0.09801179945905249
SRI-18497803,SRI-80254102,5,0.029706320239195134
SRI-18497803,SRI-80254102,10,0.039046382116403364
SRI-18497803,SRI-80254102,15,0.041312175050207074
SRI-18497803,SRI-80254102,20,0.044341442348773394
SRI-18497803,SRI-80254102,25,0.04559390283608857
SRI-18497803,SRI-80254102,30,0.05307944859004695
SRI-18497803,SRI-80254102,40,0.06176801274637228
SRI-18497803,SRI-80254102,50,0.07038678952931296
SRI-18497803,SRI-80254102,60,0.07463125483453657
SRI-18497803,SRI-80254102,80,0.07615365030406683
SRI-18497803,SRI-80254102,100,0.07853025756678336
SRI-18497803,SRI-80254102,110,0.08800127934550184
SRI-18497803,SRI-81490281,5,0.04233727312251349
SRI-18497803,SRI-81490281,10,0.06404502842089174
SRI-18497803,SRI-81490281,15,0.06791488020610556
SRI-18497803,SRI-81490281,20,0.07305222909794791
SRI-18497803,SRI-81490281,25,0.07748811170055432
SRI-18497803,SRI-81490281,30,0.08568757073614466
SRI-18497803,SRI-81490281,40,0.09437097376254304
SRI-18497803,SRI-81490281,50,0.09787242612110983
SRI-18497803,SRI-81490281,60,0.10000202318445497
SRI-18497803,SRI-81490281,80,0.1017562212977198
SRI-18497803,SRI-81490281,100,0.10447445878490601
SRI-18497803,SRI-81490281,110,0.11826855091057935
SRI-18497803,SRI-83223481,5,0.03862099610153197
SRI-18497803,SRI-83223481,10,0.049055731202481745
SRI-18497803,SRI-83223481,15,0.050737363735644976
SRI-18497803,SRI-83223481,20,0.05381645129590369
SRI-18497803,SRI-83223481,25,0.061790217900023856
SRI-18497803,SRI-83223481,30,0.06619033577820457
SRI-18497803,SRI-83223481,40,0.07141044353626694
SRI-18497803,SRI-83223481,50,0.07510201910027138
SRI-18497803,SRI-83223481,60,0.07472655538574564
SRI-18497803,SRI-83223481,80,0.07468200029307512
SRI-18497803,SRI-83223481,100,0.07875586093548088
SRI-18497803,SRI-83223481,110,0.08996156740494791
SRI-18497803,SRI-13856294,5,0.02883994490757482
SRI-18497803,SRI-13856294,10,0.046788207849501204
SRI-18497803,SRI-13856294,15,0.052653765872876145
SRI-18497803,SRI-13856294,20,0.05596147421850515
SRI-18497803,SRI-13856294,25,0.05789809153485957
SRI-18497803,SRI-13856294,30,0.06293093291866447
SRI-18497803,SRI-13856294,40,0.06762198695169079
SRI-18497803,SRI-13856294,50,0.07450293437254414
SRI-18497803,SRI-13856294,60,0.0794759745981684
SRI-18497803,SRI-13856294,80,0.08231896369569433
SRI-18497803,SRI-13856294,100,0.09028662852495828
SRI-18497803,SRI-13856294,110,0.10459461376063481
SRI-18497803,SRI-52623367,5,0.04033724940799206
SRI-18497803,SRI-52623367,10,0.054359705871025496
SRI-18497803,SRI-52623367,15,0.05830342928232914
SRI-18497803,SRI-52623367,20,0.06291679828549293
SRI-18497803,SRI-52623367,25,0.06538052250351672
SRI-18497803,SRI-52623367,30,0.07129771068275993
SRI-18497803,SRI-52623367,40,0.0784426941829002
SRI-18497803,SRI-52623367,50,0.08483056391068125
SRI-18497803,SRI-52623367,60,0.08617032086237719
SRI-18497803,SRI-52623367,80,0.08885766086563499
SRI-18497803,SRI-52623367,100,0.08984963977043586
SRI-18497803,SRI-52623367,110,0.10359758108508219
SRI-18497803,SRI-61581684,5,0.03244918189498483
SRI-18497803,SRI-61581684,10,0.04683901061604255
SRI-18497803,SRI-61581684,15,0.0523581290139329
SRI-18497803,SRI-61581684,20,0.05684360774436761
SRI-18497803,SRI-61581684,25,0.062293009836930334
SRI-18497803,SRI-61581684,30,0.07298873535688395
SRI-18497803,SRI-61581684,40,0.07945659655296955
SRI-18497803,SRI-61581684,50,0.08687082193239029
SRI-18497803,SRI-61581684,60,0.08982817381389857
SRI-18497803,SRI-61581684,80,0.09308162732217916
SRI-18497803,SRI-61581684,100,0.09457645920306958
SRI-18497803,SRI-61581684,110,0.11349823694017344
SRI-18497803,SRI-03083799,5,0.038369726935961815
SRI-18497803,SRI-03083799,10,0.04585247238157301
SRI-18497803,SRI-03083799,15,0.04790127615168565
SRI-18497803,SRI-03083799,20,0.05449368263295882
SRI-18497803,SRI-03083799,25,0.059345278158665915
SRI-18497803,SRI-03083799,30,0.06824379363929592
SRI-18497803,SRI-03083799,40,0.07652633934511704
SRI-18497803,SRI-03083799,50,0.08286055491993109
SRI-18497803,SRI-03083799,60,0.0861955800181228
SRI-18497803,SRI-03083799,80,0.08731453515305762
SRI-18497803,SRI-03083799,100,0.08773131470706459
SRI-18497803,SRI-03083799,110,0.10071527353433478
SRI-18497803,SRI-47551686,5,0.04282391802074374
SRI-18497803,SRI-47551686,10,0.05043943546040258
SRI-18497803,SRI-47551686,15,0.050871270490574855
SRI-18497803,SRI-47551686,20,0.053937422125577714
SRI-18497803,SRI-47551686,25,0.05578489713898944
SRI-18497803,SRI-47551686,30,0.06391808033933294
SRI-18497803,SRI-47551686,40,0.07098101058032494
SRI-18497803,SRI-47551686,50,0.07819932771616717
SRI-18497803,SRI-47551686,60,0.08161932307651826
SRI-18497803,SRI-47551686,80,0.08537047656333704
SRI-18497803,SRI-47551686,100,0.0905284224094443
SRI-18497803,SRI-47551686,110,0.10494289158883559
SRI-26391657,SRI-18497803,5,0.03502293528626612
SRI-26391657,SRI-18497803,10,0.049204745386345464
SRI-26391657,SRI-18497803,15,0.053763495478284636
SRI-26391657,SRI-18497803,20,0.05851557500927727
SRI-26391657,SRI-18497803,25,0.06172079835793326
SRI-26391657,SRI-18497803,30,0.067555828477982
SRI-26391657,SRI-18497803,40,0.07564840836541868
SRI-26391657,SRI-18497803,50,0.0799651685835831
SRI-26391657,SRI-18497803,60,0.08203898385263382
SRI-26391657,SRI-18497803,80,0.08095935759824109
SRI-26391657,SRI-18497803,100,0.08530107373741083
SRI-26391657,SRI-18497803,110,0.09818198719795765
SRI-26391657,SRI-26391657,5,0.0
SRI-26391657,SRI-26391657,10,0.0
SRI-26391657,SRI-26391657,15,0.0
SRI-26391657,SRI-26391657,20,0.0
SRI-26391657,SRI-26391657,25,0.0
SRI-26391657,SRI-26391657,30,0.0
SRI-26391657,SRI-26391657,40,0.0
SRI-26391657,SRI-26391657,50,0.0
SRI-26391657,SRI-26391657,60,0.0
SRI-26391657,SRI-26391657,80,0.0
SRI-26391657,SRI-26391657,100,0.0
SRI-26391657,SRI-26391657,110,0.0
SRI-26391657,SRI-65903946,5,0.02807895452747606
SRI-26391657,SRI-65903946,10,0.02326903640089851
SRI-26391657,SRI-65903946,15,0.02272374521836024
SRI-26391657,SRI-65903946,20,0.02460299625093628
SRI-26391657,SRI-65903946,25,0.02289036497973153
SRI-26391657,SRI-65903946,30,0.02335293740232068
SRI-26391657,SRI-65903946,40,0.026044729471785755
SRI-26391657,SRI-65903946,50,0.02982712174790117
SRI-26391657,SRI-65903946,60,0.03251290738404375
SRI-26391657,SRI-65903946,80,0.03618592270291373
SRI-26391657,SRI-65903946,100,0.046571554649746646
SRI-26391657,SRI-65903946,110,0.05078737909695805
SRI-26391657,SRI-57018043,5,0.018717539062639996
SRI-26391657,SRI-57018043,10,0.017966512180567502
SRI-26391657,SRI-57018043,15,0.022412276946188425
SRI-26391657,SRI-57018043,20,0.022950722769784968
SRI-26391657,SRI-57018043,25,0.02247480921463439
SRI-26391657,SRI-57018043,30,0.02276889000231001
SRI-26391657,SRI-57018043,40,0.025742256340337666
SRI-26391657,SRI-57018043,50,0.03180707444903795
SRI-26391657,SRI-57018043,60,0.03567378491189965
SRI-26391657,SRI-57018043,80,0.03866268846677754
SRI-26391657,SRI-57018043,100,0.04813766606243303
SRI-26391657,SRI-57018043,110,0.05230291766546908
SRI-26391657,SRI-09637923,5,0.017167536292010056
SRI-26391657,SRI-09637923,10,0.0238556983857433
SRI-26391657,SRI-09637923,15,0.02810310744811364
SRI-26391657,SRI-09637923,20,0.03296322370590171
SRI-26391657,SRI-09637923,25,0.031798043107303074
SRI-26391657,SRI-09637923,30,0.031430258274633444
SRI-26391657,SRI-09637923,40,0.033808451852322716
SRI-26391657,SRI-09637923,50,0.03709804448953217
SRI-26391657,SRI-09637923,60,0.039935046132148
SRI-26391657,SRI-09637923,80,0.0465237456793027
SRI-26391657,SRI-09637923,100,0.060856715390971344
SRI-26391657,SRI-09637923,110,0.06773060348620312
SRI-26391657,SRI-47051706,5,0.02146270037132777
SRI-26391657,SRI-47051706,10,0.022456728488394403
SRI-26391657,SRI-47051706,15,0.022174640206722367
SRI-26391657,SRI-47051706,20,0.023020907506240352
SRI-26391657,SRI-47051706,25,0.022575323109321217
SRI-26391657,SRI-47051706,30,0.02185363019026588
SRI-26391657,SRI-47051706,40,0.022179409770443487
SRI-26391657,SRI-47051706,50,0.026695199485394117
SRI-26391657,SRI-47051706,60,0.0298495539083452
SRI-26391657,SRI-47051706,80,0.03500977400815616
SRI-26391657,SRI-47051706,100,0.043555771100956646
SRI-26391657,SRI-47051706,110,0.049540790829219465
SRI-26391657,SRI-51877708,5,0.017566544436163282
SRI-26391657,SRI-51877708,10,0.017356875526085704
SRI-26391657,SRI-51877708,15,0.01889238195501551
SRI-26391657,SRI-51877708,20,0.019423980730780294
SRI-26391657,SRI-51877708,25,0.01942424359557171
SRI-26391657,SRI-51877708,30,0.019767207035551473
SRI-26391657,SRI-51877708,40,0.023405994640354984
SRI-26391657,SRI-51877708,50,0.02718880471290957
SRI-26391657,SRI-51877708,60,0.030779457407486235
SRI-26391657,SRI-51877708,80,0.033486637526598625
SRI-26391657,SRI-51877708,100,0.03799848599325559
SRI-26391657,SRI-51877708,110,0.041003274452380604
SRI-26391657,SRI-32501055,5,0.02275081178718638
SRI-26391657,SRI-32501055,10,0.022589007146576193
SRI-26391657,SRI-32501055,15,0.021265518875197283
SRI-26391657,SRI-32501055,20,0.02553889780923461
SRI-26391657,SRI-32501055,25,0.024438585683714254
SRI-26391657,SRI-32501055,30,0.023951369974525075
SRI-26391657,SRI-32501055,40,0.024803422346644604
SRI-26391657,SRI-32501055,50,0.030866896934823963
SRI-26391657,SRI-32501055,60,0.035898429451802175
SRI-26391657,SRI-32501055,80,0.04784419342565299
SRI-26391657,SRI-32501055,100,0.05283200974611441
SRI-26391657,SRI-32501055,110,0.05881504210481083
SRI-26391657,SRI-34707832,5,0.02134983197513744
SRI-26391657,SRI-34707832,10,0.021207108985439545
SRI-26391657,SRI-34707832,15,0.022701276070874684
SRI-26391657,SRI-34707832,20,0.02351495383983908
SRI-26391657,SRI-34707832,25,0.02384658259014546
SRI-26391657,SRI-34707832,30,0.02376885674427989
SRI-26391657,SRI-34707832,40,0.025996022906612855
SRI-26391657,SRI-34707832,50,0.030308244283752714
SRI-26391657,SRI-34707832,60,0.03486869766284203
SRI-26391657,SRI-34707832,80,0.03733740298745679
SRI-26391657,SRI-34707832,100,0.04200540264404183
SRI-26391657,SRI-34707832,110,0.04485215116521504
SRI-26391657,SRI-28317328,5,0.019727229713353688
SRI-26391657,SRI-28317328,10,0.01581666271183601
SRI-26391657,SRI-28317328,15,0.018284349410175017
SRI-26391657,SRI-28317328,20,0.018879830390708452
SRI-26391657,SRI-28317328,25,0.019621756292027795
SRI-26391657,SRI-28317328,30,0.02029650658110284
SRI-26391657,SRI-28317328,40,0.022066485423968975
SRI-26391657,SRI-28317328,50,0.027733662650246432
SRI-26391657,SRI-28317328,60,0.032974440790155754
SRI-26391657,SRI-28317328,80,0.0371559184649045
SRI-26391657,SRI-28317328,100,0.04638753050941558
SRI-26391657,SRI-28317328,110,0.04688914291075539
SRI-26391657,SRI-54024442,5,0.02907565640634551
SRI-26391657,SRI-54024442,10,0.02498678706369485
SRI-26391657,SRI-54024442,15,0.02608457097175966
SRI-26391657,SRI-54024442,20,0.02529540187220632
SRI-26391657,SRI-54024442,25,0.02563260214785409
SRI-26391657,SRI-54024442,30,0.02492367346470662
SRI-26391657,SRI-54024442,40,0.028821125440245877
SRI-26391657,SRI-54024442,50,0.031602424788839775
SRI-26391657,SRI-54024442,60,0.03234254863212338
SRI-26391657,SRI-54024442,80,0.03416400696349726
SRI-26391657,SRI-54024442,100,0.046222343633463975
SRI-26391657,SRI-54024442,110,0.05324093731390357
SRI-26391657,SRI-83452944,5,0.026476865880549733
SRI-26391657,SRI-83452944,10,0.024445026866921953
SRI-26391657,SRI-83452944,15,0.022805291790817243
SRI-26391657,SRI-83452944,20,0.022936071102689803
SRI-26391657,SRI-83452944,25,0.02462020765151594
SRI-26391657,SRI-83452944,30,0.024947506880580183
