pat1,pat2,features (n),distance,,,,,
P24,P67,50,0.033898117,,,,,
P24,P67,60,0.035502642,,,,,
P24,P67,80,0.036863375,,,,,
P24,P67,100,0.046814889,,,,,
P24,P67,110,0.052467541,,,,,
P24,P68,5,0.029410504,,,,,
P24,P68,10,0.021177423,,,,,
P24,P68,15,0.019315263,,,,,
P24,P68,20,0.019303988,,,,,
P24,P68,25,0.020883827,,,,,
P24,P68,30,0.027363953,,,,,
P24,P68,40,0.032291616,,,,,
P24,P68,50,0.03394438,,,,,
P24,P68,60,0.037633561,,,,,
P24,P68,80,0.049386002,,,,,
P24,P68,100,0.061178034,,,,,
P24,P68,110,0.065561525,,,,,
P24,P71,5,0.020988283,,,,,
P24,P71,10,0.015399698,,,,,
P24,P71,15,0.018019165,,,,,
P24,P71,20,0.018720017,,,,,
P24,P71,25,0.019128428,,,,,
P24,P71,30,0.022573012,,,,,
P24,P71,40,0.027363514,,,,,
P24,P71,50,0.031414248,,,,,
P24,P71,60,0.031679891,,,,,
P24,P71,80,0.034397476,,,,,
P24,P71,100,0.045167365,,,,,
P24,P71,110,0.048585738,,,,,
P24,P82,5,0.02086682,,,,,
P24,P82,10,0.018226519,,,,,
P24,P82,15,0.020055317,,,,,
P24,P82,20,0.019456635,,,,,
P24,P82,25,0.021968851,,,,,
P24,P82,30,0.025379665,,,,,
P24,P82,40,0.030404855,,,,,
P24,P82,50,0.033413623,,,,,
P24,P82,60,0.035638893,,,,,
P24,P82,80,0.046095408,,,,,
P24,P82,100,0.054503104,,,,,
P24,P82,110,0.063252829,,,,,
P24,P88,5,0.010806285,,,,,
P24,P88,10,0.015184821,,,,,
P24,P88,15,0.0146243,,,,,
P24,P88,20,0.014801913,,,,,
P24,P88,25,0.015336399,,,,,
P24,P88,30,0.018345643,,,,,
P24,P88,40,0.020830763,,,,,
P24,P88,50,0.024359248,,,,,
P24,P88,60,0.02619045,,,,,
P24,P88,80,0.031558206,,,,,
P24,P88,100,0.037468251,,,,,
P24,P88,110,0.040424168,,,,,
P24,P92,5,0.025768038,,,,,
P24,P92,10,0.021606839,,,,,
P24,P92,15,0.019958009,,,,,
P24,P92,20,0.020436598,,,,,
P24,P92,25,0.02142037,,,,,
P24,P92,30,0.023807578,,,,,
P24,P92,40,0.029020444,,,,,
P24,P92,50,0.032964243,,,,,
P24,P92,60,0.032445678,,,,,
P24,P92,80,0.03885361,,,,,
P24,P92,100,0.049957968,,,,,
P24,P92,110,0.054735926,,,,,
P26,P1,5,0.042536208,,,,,
P26,P1,10,0.05771579,,,,,
P26,P1,15,0.061516175,,,,,
P26,P1,20,0.065305587,,,,,
P26,P1,25,0.06850863,,,,,
P26,P1,30,0.075929433,,,,,
P26,P1,40,0.084978127,,,,,
P26,P1,50,0.091291671,,,,,
P26,P1,60,0.095375695,,,,,
P26,P1,80,0.094502909,,,,,
P26,P1,100,0.097241619,,,,,
P26,P1,110,0.109749894,,,,,
P26,P19,5,0.018717539,,,,,
P26,P19,10,0.017966512,,,,,
P26,P19,15,0.022412277,,,,,
P26,P19,20,0.022950723,,,,,
P26,P19,25,0.022474809,,,,,
P26,P19,30,0.02276889,,,,,
P26,P19,40,0.025742256,,,,,
P26,P19,50,0.031807074,,,,,
P26,P19,60,0.035673785,,,,,
P26,P19,80,0.038662688,,,,,
P26,P19,100,0.048137666,,,,,
P26,P19,110,0.052302918,,,,,
P26,P24,5,0.015870834,,,,,
P26,P24,10,0.011095962,,,,,
P26,P24,15,0.012990778,,,,,
P26,P24,20,0.01292104,,,,,
P26,P24,25,0.014190065,,,,,
P26,P24,30,0.018903859,,,,,
P26,P24,40,0.027770947,,,,,
P26,P24,50,0.033605316,,,,,
P26,P24,60,0.037309017,,,,,
P26,P24,80,0.042589522,,,,,
P26,P24,100,0.046282344,,,,,
P26,P24,110,0.049813523,,,,,
P26,P26,5,0,,,,,
P26,P26,10,0,,,,,
P26,P26,15,0,,,,,
P26,P26,20,0,,,,,
P26,P26,25,0,,,,,
P26,P26,30,0,,,,,
P26,P26,40,0,,,,,
P26,P26,50,0,,,,,
P26,P26,60,0,,,,,
P26,P26,80,0,,,,,
P26,P26,100,0,,,,,
P26,P26,110,0,,,,,
P26,P51,5,0.01826981,,,,,
P26,P51,10,0.02897669,,,,,
P26,P51,15,0.033768154,,,,,
P26,P51,20,0.036873613,,,,,
P26,P51,25,0.035770414,,,,,
P26,P51,30,0.038430981,,,,,
P26,P51,40,0.042776315,,,,,
P26,P51,50,0.04942923,,,,,
P26,P51,60,0.054403303,,,,,
P26,P51,80,0.061403904,,,,,
P26,P51,100,0.07110237,,,,,
P26,P51,110,0.077566042,,,,,
P26,P56,5,0.011814592,,,,,
P26,P56,10,0.014777752,,,,,
P26,P56,15,0.014993616,,,,,
P26,P56,20,0.015308475,,,,,
P26,P56,25,0.015194873,,,,,
P26,P56,30,0.016543563,,,,,
P26,P56,40,0.021103131,,,,,
P26,P56,50,0.026331667,,,,,
P26,P56,60,0.029984616,,,,,
P26,P56,80,0.035834482,,,,,
P26,P56,100,0.04467878,,,,,
P26,P56,110,0.050988365,,,,,
P26,P61,5,0.016393617,,,,,
P26,P61,10,0.019622322,,,,,
P26,P61,15,0.023892812,,,,,
P26,P61,20,0.025015847,,,,,
P26,P61,25,0.025560443,,,,,
P26,P61,30,0.027340523,,,,,
P26,P61,40,0.031487566,,,,,
P26,P61,50,0.038763449,,,,,
P26,P61,60,0.044618338,,,,,
P26,P61,80,0.051846334,,,,,
P26,P61,100,0.057905371,,,,,
P26,P61,110,0.058708878,,,,,
P26,P66,5,0.015761558,,,,,
P26,P66,10,0.017997798,,,,,
P26,P66,15,0.02283047,,,,,
P26,P66,20,0.025040404,,,,,
P26,P66,25,0.025653127,,,,,
P26,P66,30,0.027918163,,,,,
P26,P66,40,0.032325796,,,,,
P26,P66,50,0.038501436,,,,,
P26,P66,60,0.043938967,,,,,
P26,P66,80,0.056071794,,,,,
P26,P66,100,0.061717978,,,,,
P26,P66,110,0.068994843,,,,,
P26,P76,5,0.012774008,,,,,
P26,P76,10,0.01158128,,,,,
P26,P76,15,0.012848107,,,,,
P26,P76,20,0.013797146,,,,,
P26,P76,25,0.014640184,,,,,
P26,P76,30,0.015451313,,,,,
P26,P76,40,0.021065475,,,,,
P26,P76,50,0.025458741,,,,,
P26,P76,60,0.032423438,,,,,
P26,P76,80,0.038139099,,,,,
P26,P76,100,0.045508796,,,,,
P26,P76,110,0.04995188,,,,,
P26,P95,5,0.017201932,,,,,
P26,P95,10,0.017482745,,,,,
P26,P95,15,0.021564932,,,,,
P26,P95,20,0.02077397,,,,,
P26,P95,25,0.022622307,,,,,
P26,P95,30,0.022516497,,,,,
P26,P95,40,0.023767744,,,,,
P26,P95,50,0.031845537,,,,,
P26,P95,60,0.036704628,,,,,
P26,P95,80,0.044905855,,,,,
P26,P95,100,0.054251874,,,,,
P26,P95,110,0.058494767,,,,,
P26,P27,5,0.016027553,,,,,
P26,P27,10,0.014596949,,,,,
P26,P27,15,0.011995637,,,,,
P26,P27,20,0.013502949,,,,,
P26,P27,25,0.01394159,,,,,
P26,P27,30,0.015226411,,,,,
P26,P27,40,0.02136377,,,,,
P26,P27,50,0.027652486,,,,,
P26,P27,60,0.032009343,,,,,
P26,P27,80,0.037792658,,,,,
P26,P27,100,0.044056721,,,,,
P26,P27,110,0.048928038,,,,,
P26,P32,5,0.015736701,,,,,
P26,P32,10,0.020533544,,,,,
P26,P32,15,0.021011485,,,,,
P26,P32,20,0.021161897,,,,,
P26,P32,25,0.024640495,,,,,
P26,P32,30,0.026927487,,,,,
P26,P32,40,0.030694754,,,,,
P26,P32,50,0.036218725,,,,,
P26,P32,60,0.037257182,,,,,
P26,P32,80,0.047614494,,,,,
P26,P32,100,0.05314475,,,,,
P26,P32,110,0.058903594,,,,,
P26,P39,5,0.016714474,,,,,
P26,P39,10,0.014342967,,,,,
P26,P39,15,0.0147128,,,,,
P26,P39,20,0.014925691,,,,,
P26,P39,25,0.017316052,,,,,
P26,P39,30,0.017921097,,,,,
P26,P39,40,0.019658952,,,,,
P26,P39,50,0.022368401,,,,,
P26,P39,60,0.026134476,,,,,
P26,P39,80,0.031040327,,,,,
P26,P39,100,0.031727355,,,,,
P26,P39,110,0.033814217,,,,,
P26,P58,5,0.006592941,,,,,
P26,P58,10,0.009982446,,,,,
P26,P58,15,0.013057646,,,,,
P26,P58,20,0.012138087,,,,,
P26,P58,25,0.012776308,,,,,
P26,P58,30,0.013688136,,,,,
P26,P58,40,0.019733752,,,,,
P26,P58,50,0.022449565,,,,,
P26,P58,60,0.027293077,,,,,
P26,P58,80,0.028492718,,,,,
P26,P58,100,0.037481267,,,,,
P26,P58,110,0.042749963,,,,,
P26,P59,5,0.017798981,,,,,
P26,P59,10,0.023238195,,,,,
P26,P59,15,0.025949246,,,,,
P26,P59,20,0.026129908,,,,,
P26,P59,25,0.027817612,,,,,
P26,P59,30,0.027080861,,,,,
P26,P59,40,0.029923819,,,,,
P26,P59,50,0.032004748,,,,,
P26,P59,60,0.033790631,,,,,
P26,P59,80,0.038535796,,,,,
P26,P59,100,0.048241029,,,,,
P26,P59,110,0.055139811,,,,,
P26,P62,5,0.010552175,,,,,
P26,P62,10,0.011896666,,,,,
P26,P62,15,0.014560261,,,,,
P26,P62,20,0.018717248,,,,,
P26,P62,25,0.018388223,,,,,
P26,P62,30,0.018494162,,,,,
P26,P62,40,0.024810406,,,,,
P26,P62,50,0.030333743,,,,,
P26,P62,60,0.034294625,,,,,
P26,P62,80,0.046116554,,,,,
P26,P62,100,0.046702223,,,,,
P26,P62,110,0.048836901,,,,,
P26,P67,5,0.011243218,,,,,
P26,P67,10,0.016512808,,,,,
P26,P67,15,0.020867628,,,,,
P26,P67,20,0.024856673,,,,,
P26,P67,25,0.024988003,,,,,
P26,P67,30,0.027260696,,,,,
P26,P67,40,0.031755122,,,,,
P26,P67,50,0.04128368,,,,,
P26,P67,60,0.048627538,,,,,
P26,P67,80,0.051515463,,,,,
P26,P67,100,0.059531192,,,,,
P26,P67,110,0.065498327,,,,,
P26,P68,5,0.016332018,,,,,
P26,P68,10,0.014942317,,,,,
P26,P68,15,0.017329378,,,,,
P26,P68,20,0.017953439,,,,,
P26,P68,25,0.018806364,,,,,
P26,P68,30,0.022161083,,,,,
P26,P68,40,0.026111584,,,,,
P26,P68,50,0.030989296,,,,,
P26,P68,60,0.036776494,,,,,
P26,P68,80,0.043855688,,,,,
P26,P68,100,0.056696894,,,,,
P26,P68,110,0.058621205,,,,,
P26,P71,5,0.009023212,,,,,
P26,P71,10,0.009870882,,,,,
P26,P71,15,0.015424012,,,,,
P26,P71,20,0.014065793,,,,,
P26,P71,25,0.013669971,,,,,
P26,P71,30,0.013827016,,,,,
P26,P71,40,0.015986568,,,,,
P26,P71,50,0.021029976,,,,,
P26,P71,60,0.024321888,,,,,
P26,P71,80,0.032912848,,,,,
P26,P71,100,0.045230264,,,,,
P26,P71,110,0.047635928,,,,,
P26,P82,5,0.011429366,,,,,
P26,P82,10,0.012658474,,,,,
P26,P82,15,0.0116951,,,,,
P26,P82,20,0.012147141,,,,,
P26,P82,25,0.014870194,,,,,
P26,P82,30,0.015464999,,,,,
P26,P82,40,0.020106539,,,,,
P26,P82,50,0.020951002,,,,,
P26,P82,60,0.025790321,,,,,
P26,P82,80,0.030291311,,,,,
P26,P82,100,0.038253134,,,,,
P26,P82,110,0.047243286,,,,,
P26,P88,5,0.010786828,,,,,
P26,P88,10,0.015208448,,,,,
P26,P88,15,0.017158084,,,,,
P26,P88,20,0.016036327,,,,,
P26,P88,25,0.018614035,,,,,
P26,P88,30,0.020205508,,,,,
P26,P88,40,0.023854594,,,,,
P26,P88,50,0.025684356,,,,,
P26,P88,60,0.032145977,,,,,
P26,P88,80,0.036536692,,,,,
P26,P88,100,0.04806306,,,,,
P26,P88,110,0.054505894,,,,,
P26,P92,5,0.012124653,,,,,
P26,P92,10,0.014610356,,,,,
P26,P92,15,0.01677013,,,,,
P26,P92,20,0.016913553,,,,,
P26,P92,25,0.017585331,,,,,
P26,P92,30,0.016500864,,,,,
P26,P92,40,0.020206832,,,,,
P26,P92,50,0.023009216,,,,,
P26,P92,60,0.024871063,,,,,
P26,P92,80,0.02991327,,,,,
P26,P92,100,0.042797864,,,,,
P26,P92,110,0.048410945,,,,,
P51,P1,5,0.0291953,,,,,
P51,P1,10,0.033395583,,,,,
P51,P1,15,0.035252867,,,,,
P51,P1,20,0.037661721,,,,,
P51,P1,25,0.042477893,,,,,
P51,P1,30,0.047999037,,,,,
P51,P1,40,0.055740856,,,,,
P51,P1,50,0.062002695,,,,,
P51,P1,60,0.065575772,,,,,
P51,P1,80,0.064970529,,,,,
P51,P1,100,0.065901795,,,,,
P51,P1,110,0.071289065,,,,,
P51,P19,5,0.017167536,,,,,
P51,P19,10,0.023855698,,,,,
P51,P19,15,0.028103107,,,,,
P51,P19,20,0.032963224,,,,,
P51,P19,25,0.031798043,,,,,
P51,P19,30,0.031430258,,,,,
P51,P19,40,0.033808452,,,,,
P51,P19,50,0.037098044,,,,,
P51,P19,60,0.039935046,,,,,
P51,P19,80,0.046523746,,,,,
P51,P19,100,0.060856715,,,,,
P51,P19,110,0.067730603,,,,,
P51,P24,5,0.021301149,,,,,
P51,P24,10,0.030724315,,,,,
P51,P24,15,0.034140032,,,,,
P51,P24,20,0.035227441,,,,,
P51,P24,25,0.034130917,,,,,
P51,P24,30,0.035228208,,,,,
P51,P24,40,0.036494321,,,,,
P51,P24,50,0.040178715,,,,,
P51,P24,60,0.043346198,,,,,
P51,P24,80,0.050426467,,,,,
P51,P24,100,0.055900445,,,,,
P51,P24,110,0.060045967,,,,,
P51,P26,5,0.01826981,,,,,
P51,P26,10,0.02897669,,,,,
P51,P26,15,0.033768154,,,,,
P51,P26,20,0.036873613,,,,,
P51,P26,25,0.035770414,,,,,
P51,P26,30,0.038430981,,,,,
P51,P26,40,0.042776315,,,,,
P51,P26,50,0.04942923,,,,,
P51,P26,60,0.054403303,,,,,
P51,P26,80,0.061403904,,,,,
P51,P26,100,0.07110237,,,,,
P51,P26,110,0.077566042,,,,,
P51,P51,5,0,,,,,
P51,P51,10,0,,,,,
P51,P51,15,0,,,,,
P51,P51,20,0,,,,,
P51,P51,25,0,,,,,
P51,P51,30,0,,,,,
P51,P51,40,0,,,,,
P51,P51,50,0,,,,,
P51,P51,60,0,,,,,
P51,P51,80,0,,,,,
P51,P51,100,0,,,,,
P51,P51,110,0,,,,,
P51,P56,5,0.025154613,,,,,
P51,P56,10,0.030550775,,,,,
P51,P56,15,0.034590868,,,,,
P51,P56,20,0.034061352,,,,,
P51,P56,25,0.03409128,,,,,
P51,P56,30,0.03507918,,,,,
P51,P56,40,0.036426526,,,,,
P51,P56,50,0.039703016,,,,,
P51,P56,60,0.043115952,,,,,
P51,P56,80,0.050106858,,,,,
P51,P56,100,0.057683811,,,,,
P51,P56,110,0.062009166,,,,,
P51,P61,5,0.016777281,,,,,
P51,P61,10,0.024304342,,,,,
P51,P61,15,0.027934857,,,,,
P51,P61,20,0.029663935,,,,,
P51,P61,25,0.030995707,,,,,
P51,P61,30,0.032536127,,,,,
P51,P61,40,0.036477548,,,,,
P51,P61,50,0.0388765,,,,,
P51,P61,60,0.042301806,,,,,
P51,P61,80,0.049606074,,,,,
P51,P61,100,0.058607545,,,,,
P51,P61,110,0.063761336,,,,,
P51,P66,5,0.024435267,,,,,
P51,P66,10,0.031243305,,,,,
P51,P66,15,0.036597466,,,,,
P51,P66,20,0.035820267,,,,,
P51,P66,25,0.037023778,,,,,
P51,P66,30,0.036493907,,,,,
P51,P66,40,0.040036909,,,,,
P51,P66,50,0.042638971,,,,,
P51,P66,60,0.048112452,,,,,
P51,P66,80,0.065531285,,,,,
P51,P66,100,0.075004387,,,,,
P51,P66,110,0.083975514,,,,,
P51,P76,5,0.021026866,,,,,
P51,P76,10,0.027495247,,,,,
P51,P76,15,0.034392423,,,,,
P51,P76,20,0.036002076,,,,,
P51,P76,25,0.036767984,,,,,
P51,P76,30,0.038450229,,,,,
P51,P76,40,0.039582204,,,,,
P51,P76,50,0.042360631,,,,,
P51,P76,60,0.048796234,,,,,
P51,P76,80,0.054636371,,,,,
P51,P76,100,0.065436092,,,,,
P51,P76,110,0.074382522,,,,,
P51,P95,5,0.007730082,,,,,
P51,P95,10,0.022918705,,,,,
P51,P95,15,0.030950889,,,,,
P51,P95,20,0.037539869,,,,,
P51,P95,25,0.034962329,,,,,
P51,P95,30,0.036151734,,,,,
P51,P95,40,0.038016074,,,,,
P51,P95,50,0.04087932,,,,,
P51,P95,60,0.045082181,,,,,
P51,P95,80,0.05134287,,,,,
P51,P95,100,0.054775971,,,,,
P51,P95,110,0.059276874,,,,,
P51,P27,5,0.020442016,,,,,
P51,P27,10,0.033678952,,,,,
P51,P27,15,0.036302827,,,,,
P51,P27,20,0.040040434,,,,,
P51,P27,25,0.039144821,,,,,
P51,P27,30,0.040232938,,,,,
P51,P27,40,0.041118433,,,,,
P51,P27,50,0.046366254,,,,,
P51,P27,60,0.04865419,,,,,
P51,P27,80,0.051940586,,,,,
P51,P27,100,0.056685006,,,,,
P51,P27,110,0.066375275,,,,,
P51,P32,5,0.011675574,,,,,
P51,P32,10,0.02769314,,,,,
P51,P32,15,0.030654383,,,,,
P51,P32,20,0.036722172,,,,,
P51,P32,25,0.036097694,,,,,
P51,P32,30,0.037134565,,,,,
P51,P32,40,0.039307221,,,,,
P51,P32,50,0.046052958,,,,,
P51,P32,60,0.046598266,,,,,
P51,P32,80,0.053423629,,,,,
P51,P32,100,0.057832215,,,,,
P51,P32,110,0.064019206,,,,,
P51,P39,5,0.027745119,,,,,
P51,P39,10,0.032628478,,,,,
P51,P39,15,0.038229584,,,,,
P51,P39,20,0.038596371,,,,,
P51,P39,25,0.040703306,,,,,
P51,P39,30,0.041696175,,,,,
P51,P39,40,0.045169773,,,,,
P51,P39,50,0.049667599,,,,,
P51,P39,60,0.055276338,,,,,
P51,P39,80,0.063577939,,,,,
P51,P39,100,0.07296575,,,,,
P51,P39,110,0.078798744,,,,,
P51,P58,5,0.016495631,,,,,
P51,P58,10,0.024753762,,,,,
P51,P58,15,0.029219648,,,,,
P51,P58,20,0.032518798,,,,,
P51,P58,25,0.031567563,,,,,
P51,P58,30,0.032944747,,,,,
P51,P58,40,0.034683011,,,,,
P51,P58,50,0.040564558,,,,,
P51,P58,60,0.046535754,,,,,
P51,P58,80,0.051736423,,,,,
P51,P58,100,0.063486239,,,,,
P51,P58,110,0.071174573,,,,,
P51,P59,5,0.016775809,,,,,
P51,P59,10,0.02655475,,,,,
P51,P59,15,0.029100604,,,,,
P51,P59,20,0.032569472,,,,,
P51,P59,25,0.030771886,,,,,
P51,P59,30,0.033198927,,,,,
P51,P59,40,0.0359608,,,,,
P51,P59,50,0.041885802,,,,,
P51,P59,60,0.045623852,,,,,
P51,P59,80,0.046449793,,,,,
P51,P59,100,0.057045071,,,,,
P51,P59,110,0.063495929,,,,,
P51,P62,5,0.019572651,,,,,
P51,P62,10,0.035291016,,,,,
P51,P62,15,0.04192176,,,,,
P51,P62,20,0.044339321,,,,,
P51,P62,25,0.043367824,,,,,
P51,P62,30,0.045494805,,,,,
P51,P62,40,0.048763247,,,,,
P51,P62,50,0.051957164,,,,,
P51,P62,60,0.056163886,,,,,
P51,P62,80,0.066161924,,,,,
P51,P62,100,0.075542776,,,,,
P51,P62,110,0.082051421,,,,,
P51,P67,5,0.010120196,,,,,
P51,P67,10,0.020159516,,,,,
P51,P67,15,0.022366744,,,,,
P51,P67,20,0.022690809,,,,,
P51,P67,25,0.026182483,,,,,
P51,P67,30,0.024856373,,,,,
P51,P67,40,0.025421111,,,,,
P51,P67,50,0.029183645,,,,,
P51,P67,60,0.032447359,,,,,
P51,P67,80,0.0384713,,,,,
P51,P67,100,0.044637127,,,,,
P51,P67,110,0.050518382,,,,,
P51,P68,5,0.023219331,,,,,
P51,P68,10,0.029038461,,,,,
P51,P68,15,0.03314117,,,,,
P51,P68,20,0.033258711,,,,,
P51,P68,25,0.031608735,,,,,
P51,P68,30,0.034442051,,,,,
P51,P68,40,0.038601324,,,,,
P51,P68,50,0.042041222,,,,,
P51,P68,60,0.049941741,,,,,
P51,P68,80,0.056016042,,,,,
P51,P68,100,0.074214172,,,,,
P51,P68,110,0.081903808,,,,,
P51,P71,5,0.025492525,,,,,
P51,P71,10,0.033105903,,,,,
P51,P71,15,0.038085508,,,,,
P51,P71,20,0.041559498,,,,,
P51,P71,25,0.038646734,,,,,
P51,P71,30,0.039948159,,,,,
P51,P71,40,0.040138955,,,,,
P51,P71,50,0.043944929,,,,,
P51,P71,60,0.046193968,,,,,
P51,P71,80,0.055043636,,,,,
P51,P71,100,0.067761743,,,,,
P51,P71,110,0.075242445,,,,,
P51,P82,5,0.014932158,,,,,
P51,P82,10,0.021877028,,,,,
P51,P82,15,0.028770446,,,,,
P51,P82,20,0.032927898,,,,,
P51,P82,25,0.033126176,,,,,
P51,P82,30,0.037222527,,,,,
P51,P82,40,0.039730715,,,,,
P51,P82,50,0.045401376,,,,,
P51,P82,60,0.051735286,,,,,
P51,P82,80,0.060120136,,,,,
P51,P82,100,0.072544132,,,,,
P51,P82,110,0.084917107,,,,,
P51,P88,5,0.011726567,,,,,
P51,P88,10,0.021118055,,,,,
P51,P88,15,0.025555688,,,,,
P51,P88,20,0.02894863,,,,,
P51,P88,25,0.028563396,,,,,
P51,P88,30,0.031053511,,,,,
P51,P88,40,0.033377066,,,,,
P51,P88,50,0.03781591,,,,,
P51,P88,60,0.042345153,,,,,
P51,P88,80,0.05159975,,,,,
P51,P88,100,0.063139121,,,,,
P51,P88,110,0.07029998,,,,,
P51,P92,5,0.028649346,,,,,
P51,P92,10,0.030561382,,,,,
P51,P92,15,0.033091077,,,,,
P51,P92,20,0.03759401,,,,,
P51,P92,25,0.035838943,,,,,
P51,P92,30,0.037237883,,,,,
P51,P92,40,0.037817946,,,,,
P51,P92,50,0.040797904,,,,,
P51,P92,60,0.044998834,,,,,
P51,P92,80,0.054642317,,,,,
P51,P92,100,0.070149242,,,,,
P51,P92,110,0.077956857,,,,,
P56,P1,5,0.048801176,,,,,
P56,P1,10,0.060165111,,,,,
P56,P1,15,0.064590864,,,,,
P56,P1,20,0.064831305,,,,,
P56,P1,25,0.069695228,,,,,
P56,P1,30,0.076734275,,,,,
P56,P1,40,0.082725048,,,,,
P56,P1,50,0.087470654,,,,,
P56,P1,60,0.091537927,,,,,
P56,P1,80,0.091127146,,,,,
P56,P1,100,0.091864353,,,,,
P56,P1,110,0.102052112,,,,,
P56,P19,5,0.0214627,,,,,
P56,P19,10,0.022456728,,,,,
P56,P19,15,0.02217464,,,,,
P56,P19,20,0.023020908,,,,,
P56,P19,25,0.022575323,,,,,
P56,P19,30,0.02185363,,,,,
P56,P19,40,0.02217941,,,,,
P56,P19,50,0.026695199,,,,,
P56,P19,60,0.029849554,,,,,
P56,P19,80,0.035009774,,,,,
P56,P19,100,0.043555771,,,,,
P56,P19,110,0.049540791,,,,,
P56,P24,5,0.016308027,,,,,
P56,P24,10,0.016095036,,,,,
P56,P24,15,0.015387596,,,,,
P56,P24,20,0.014208444,,,,,
P56,P24,25,0.014705659,,,,,
P56,P24,30,0.016608737,,,,,
P56,P24,40,0.020102781,,,,,
P56,P24,50,0.022230756,,,,,
P56,P24,60,0.02807891,,,,,
P56,P24,80,0.031221569,,,,,
P56,P24,100,0.036329983,,,,,
P56,P24,110,0.03930941,,,,,
P56,P26,5,0.011814592,,,,,
P56,P26,10,0.014777752,,,,,
P56,P26,15,0.014993616,,,,,
P56,P26,20,0.015308475,,,,,
P56,P26,25,0.015194873,,,,,
P56,P26,30,0.016543563,,,,,
P56,P26,40,0.021103131,,,,,
P56,P26,50,0.026331667,,,,,
P56,P26,60,0.029984616,,,,,
P56,P26,80,0.035834482,,,,,
P56,P26,100,0.04467878,,,,,
P56,P26,110,0.050988365,,,,,
P56,P51,5,0.025154613,,,,,
P56,P51,10,0.030550775,,,,,
P56,P51,15,0.034590868,,,,,
P56,P51,20,0.034061352,,,,,
P56,P51,25,0.03409128,,,,,
P56,P51,30,0.03507918,,,,,
P56,P51,40,0.036426526,,,,,
P56,P51,50,0.039703016,,,,,
P56,P51,60,0.043115952,,,,,
P56,P51,80,0.050106858,,,,,
P56,P51,100,0.057683811,,,,,
P56,P51,110,0.062009166,,,,,
P56,P56,5,0,,,,,
P56,P56,10,0,,,,,
P56,P56,15,0,,,,,
P56,P56,20,0,,,,,
P56,P56,25,0,,,,,
P56,P56,30,0,,,,,
P56,P56,40,0,,,,,
P56,P56,50,0,,,,,
P56,P56,60,0,,,,,
P56,P56,80,0,,,,,
P56,P56,100,0,,,,,
P56,P56,110,0,,,,,
P56,P61,5,0.021655627,,,,,
P56,P61,10,0.021999602,,,,,
P56,P61,15,0.025872207,,,,,
P56,P61,20,0.024171782,,,,,
P56,P61,25,0.02570023,,,,,
P56,P61,30,0.026569445,,,,,
P56,P61,40,0.030909769,,,,,
P56,P61,50,0.035698836,,,,,
P56,P61,60,0.038689175,,,,,
P56,P61,80,0.042181732,,,,,
P56,P61,100,0.048435633,,,,,
P56,P61,110,0.054504725,,,,,
P56,P66,5,0.015962211,,,,,
P56,P66,10,0.017842962,,,,,
P56,P66,15,0.020902729,,,,,
P56,P66,20,0.021207184,,,,,
P56,P66,25,0.023097533,,,,,
P56,P66,30,0.025800107,,,,,
P56,P66,40,0.026173148,,,,,
P56,P66,50,0.029900732,,,,,
P56,P66,60,0.033628809,,,,,
P56,P66,80,0.045147978,,,,,
P56,P66,100,0.050770192,,,,,
P56,P66,110,0.058054601,,,,,
P56,P76,5,0.010983043,,,,,
P56,P76,10,0.011646851,,,,,
P56,P76,15,0.012105031,,,,,
P56,P76,20,0.013486581,,,,,
P56,P76,25,0.013766548,,,,,
P56,P76,30,0.013965151,,,,,
P56,P76,40,0.016029445,,,,,
P56,P76,50,0.019495578,,,,,
P56,P76,60,0.028183346,,,,,
P56,P76,80,0.038840718,,,,,
P56,P76,100,0.047165497,,,,,
P56,P76,110,0.05442286,,,,,
P56,P95,5,0.025586937,,,,,
P56,P95,10,0.026402609,,,,,
P56,P95,15,0.027708988,,,,,
P56,P95,20,0.027694648,,,,,
P56,P95,25,0.029155441,,,,,
P56,P95,30,0.029435626,,,,,
P56,P95,40,0.028416691,,,,,
P56,P95,50,0.029434168,,,,,
P56,P95,60,0.033955957,,,,,
P56,P95,80,0.038810496,,,,,
P56,P95,100,0.043065868,,,,,
P56,P95,110,0.0453999,,,,,
P56,P27,5,0.008576243,,,,,
P56,P27,10,0.013226126,,,,,
P56,P27,15,0.013353453,,,,,
P56,P27,20,0.015409466,,,,,
P56,P27,25,0.016166787,,,,,
P56,P27,30,0.015910642,,,,,
P56,P27,40,0.020516076,,,,,
P56,P27,50,0.026771366,,,,,
P56,P27,60,0.029993675,,,,,
P56,P27,80,0.033779839,,,,,
P56,P27,100,0.041743105,,,,,
P56,P27,110,0.052105558,,,,,
P56,P32,5,0.024898421,,,,,
P56,P32,10,0.030308053,,,,,
P56,P32,15,0.029165457,,,,,
P56,P32,20,0.028394511,,,,,
P56,P32,25,0.030819896,,,,,
P56,P32,30,0.030203771,,,,,
P56,P32,40,0.033496836,,,,,
P56,P32,50,0.039342094,,,,,
P56,P32,60,0.04074124,,,,,
P56,P32,80,0.042026028,,,,,
P56,P32,100,0.046499687,,,,,
P56,P32,110,0.05117856,,,,,
P56,P39,5,0.007178844,,,,,
P56,P39,10,0.007534948,,,,,
P56,P39,15,0.008950257,,,,,
P56,P39,20,0.009948019,,,,,
P56,P39,25,0.011321761,,,,,
P56,P39,30,0.011480288,,,,,
